card_number,user_id,expiration_date,card_type
6547604848708984,479,2027-05-28,Visa
7616570040494388,175,2033-04-04,JCB
4319539852250909,80,2033-12-11,Amex
5445769620290725,476,2028-11-03,Visa
7493186428212918,324,2031-07-09,Discover
9664440644888553,362,2025-07-04,JCB
2082965708693058,482,2030-06-30,MasterCard
3570393426197378,459,2029-05-05,Visa
3271664465951407,6,2033-09-27,Amex
3666609759294506,243,2028-01-25,Discover
2019550131870505,202,2028-11-20,MasterCard
4629264802227080,422,2027-01-28,Discover
6259118243454487,466,2027-03-03,MasterCard
7820928051379378,82,2027-02-15,Amex
2780818501169597,172,2024-07-04,JCB
8512502205930604,408,2028-05-15,JCB
0925160759944976,93,2032-01-21,Visa
7436151105026905,234,2025-02-14,Discover
7710864081155170,79,2025-06-23,Discover
4006528222239507,491,2026-03-01,JCB
0334523532675926,290,2026-06-29,Visa
2906220058000199,76,2024-08-09,MasterCard
6066953258386126,290,2025-04-24,Amex
1663763637691448,191,2033-02-22,Discover
0997340956180260,394,2030-08-09,JCB
6617972257629481,478,2032-11-14,Amex
5257803429546048,221,2028-08-20,Visa
6463522195206967,39,2032-10-28,Visa
6882223230827594,367,2027-12-15,Amex
1642585826843656,486,2027-08-11,JCB
8466122099813998,57,2031-01-31,Amex
9261001575175947,416,2033-10-23,MasterCard
2881820286937640,301,2028-08-18,MasterCard
6279061965387079,53,2031-08-12,Amex
8786742385249271,493,2032-04-30,Visa
7696814731425120,422,2030-01-10,MasterCard
9830068971785510,124,2025-05-07,MasterCard
7443075851149635,494,2029-06-19,JCB
2343754692165873,336,2025-11-28,Amex
5645641741725325,256,2032-03-22,MasterCard
1667879936847358,351,2033-12-07,Visa
1756360906143521,93,2029-08-26,Amex
0300680219931730,267,2027-03-09,Discover
6182336670636094,15,2028-01-31,Discover
5557298141140292,195,2024-03-22,MasterCard
9536881817187727,281,2028-07-23,Amex
2646198537357607,371,2025-12-09,Visa
8673634772374579,478,2027-09-12,MasterCard
8134810250592763,211,2030-04-11,JCB
3260583528899629,253,2026-11-06,Discover
3970379583000237,448,2029-08-09,Discover
3186457325857675,434,2031-03-13,JCB
1231267835006316,300,2025-01-02,Discover
6830287468811970,105,2025-08-29,JCB
9541039098527419,229,2026-06-09,Amex
3668539410259971,490,2027-09-02,Discover
7656016922016304,136,2024-09-19,JCB
1545938805880270,327,2033-09-16,Amex
5251986149181927,18,2033-01-13,Discover
3518323639752458,437,2025-03-16,MasterCard
3752480154501904,412,2024-05-26,Visa
2438857168861197,166,2026-01-24,MasterCard
4364000415584038,72,2027-02-26,Amex
9066493458771652,267,2033-09-29,Visa
3760314122705861,270,2025-12-25,MasterCard
7446670285332342,96,2030-08-08,Discover
4802362382923840,370,2025-07-03,JCB
3062686368871218,6,2030-03-30,Visa
0367465641293300,262,2025-12-03,Visa
7372984092555484,69,2024-07-26,Visa
7396574727455966,297,2024-04-25,JCB
8493363482829888,429,2027-04-05,JCB
5464780347103914,407,2027-02-04,Visa
3292594000924367,379,2026-01-20,Amex
5196102098453635,95,2032-02-06,MasterCard
7299869300690281,215,2027-07-13,Amex
5930525477954172,460,2024-12-26,Visa
8486976296219127,151,2024-05-02,Visa
6441588100902166,402,2033-03-16,JCB
0521693036009628,375,2031-03-10,Amex
6680782823921974,138,2025-09-03,Amex
3600810422821505,429,2028-05-15,MasterCard
5911534757788115,225,2025-02-19,JCB
6878681326852122,18,2027-09-15,JCB
9118494576959785,119,2025-03-04,Discover
0655803917156938,13,2029-01-25,Discover
8109505254776037,381,2029-11-27,Amex
2078264973079929,227,2031-05-14,Amex
9569286635643343,275,2027-01-06,Discover
5739592532482891,458,2024-12-26,JCB
7329593187346483,182,2032-07-07,JCB
5003392871484765,435,2031-11-23,JCB
0105249874867531,372,2024-08-13,Visa
1809859193001419,446,2025-08-31,JCB
2998344229322347,404,2030-08-09,Amex
2943126239058724,42,2027-05-04,Discover
4930239062278085,487,2028-05-16,MasterCard
2757343157458943,147,2030-01-17,Discover
6126191827264832,379,2031-12-12,Visa
4756805668289204,316,2033-08-22,JCB
8963736118618720,104,2026-10-30,MasterCard
3196618383371318,67,2027-05-29,Discover
3898969647905530,500,2024-12-07,MasterCard
7383023771944654,450,2026-08-22,Visa
9175991326307428,433,2026-09-14,Amex
2185515334866602,226,2029-10-09,Visa
4283975292964312,72,2032-12-15,JCB
8620479151173800,441,2028-03-18,Discover
1749486231982730,116,2025-12-10,MasterCard
9229921141497949,215,2031-06-22,Visa
1270554660433192,127,2026-12-03,Discover
3750469882598634,49,2024-03-04,JCB
4344152706704896,240,2031-12-21,Discover
9832041643774862,312,2030-12-03,JCB
4203541064593562,493,2033-08-18,Visa
3577256665911872,50,2032-08-07,Visa
8673616049244818,343,2029-03-31,Amex
0201557335974827,205,2030-01-09,Visa
1015348184118940,126,2030-07-23,Visa
2722742790860114,43,2028-03-20,JCB
3463798852609693,146,2026-07-23,Amex
8577454223750579,404,2033-06-26,Amex
3017823695820767,406,2024-02-28,JCB
5039317218869431,220,2031-09-27,Visa
8750394678410156,330,2025-04-17,JCB
6347680647266699,155,2029-08-30,JCB
8546925067741353,193,2024-09-21,Visa
9522711290320866,92,2033-03-17,Amex
6748027211744460,301,2028-09-22,Amex
5710437483616001,189,2026-03-29,Visa
4400090292719208,70,2028-01-13,Visa
1191317611778281,71,2032-02-22,Amex
6821808316585898,201,2029-12-09,Amex
3912965458500024,380,2028-11-04,MasterCard
2217724420255318,407,2030-01-21,JCB
2453193561468505,119,2026-03-14,JCB
0684240415604324,190,2029-03-24,Discover
1273999164040092,169,2030-07-20,MasterCard
6398308378799555,60,2030-12-31,Visa
6527369039766226,196,2025-04-27,JCB
3412904212426486,165,2023-12-22,Discover
6771495444698078,486,2027-03-21,Discover
3646006814007685,282,2029-08-20,JCB
8787929095346131,85,2026-09-02,Discover
7275727475830584,202,2028-01-08,Discover
9142822153007719,269,2027-09-29,Visa
2792941452750511,320,2031-07-28,Visa
4495207663164767,455,2030-05-22,JCB
2636341275547532,237,2033-08-12,MasterCard
5372189975215245,340,2030-12-31,Visa
1655450342282731,366,2024-06-26,Discover
4106167722012169,457,2030-10-16,Visa
4199134628745264,458,2033-08-08,MasterCard
2138571586470252,256,2031-01-23,MasterCard
3127615315233985,339,2024-09-28,JCB
5978440992438814,226,2026-10-07,MasterCard
1078889986659535,254,2031-07-11,MasterCard
8072018021054310,389,2025-01-12,MasterCard
2568956360939070,213,2028-05-10,MasterCard
3192544758675484,228,2026-08-18,Discover
5656403746622732,320,2031-07-17,MasterCard
1488292717362108,20,2032-12-03,Visa
1922935511672598,105,2032-03-27,Discover
3997941261322445,87,2033-07-01,JCB
5811600356356915,34,2023-12-13,JCB
9743605521847092,439,2024-08-10,MasterCard
8957164740607124,169,2032-05-12,Amex
9277095260429216,443,2029-06-29,Discover
7826528592113137,464,2029-04-04,MasterCard
0654594780476370,268,2031-11-22,Discover
6539542243156244,364,2024-10-17,Discover
2601266119381357,286,2031-01-04,Discover
1229990743807100,305,2027-02-23,MasterCard
2738499125809548,406,2033-04-12,MasterCard
9409651545149250,371,2025-05-14,Visa
9606369740297810,343,2026-03-03,Visa
1266923810066426,14,2024-03-13,Amex
6838593067803572,291,2030-10-13,MasterCard
3031455422964061,388,2031-01-19,Discover
7263662879509833,263,2029-04-29,JCB
7391812240512989,405,2024-01-03,MasterCard
8640520837946039,137,2027-07-31,MasterCard
5147540415435333,97,2024-03-10,JCB
1842560808614384,378,2023-12-27,Visa
1868522144274389,354,2032-12-08,MasterCard
1735645127582176,394,2025-08-11,JCB
5947240617921163,150,2027-03-10,Visa
6948090668533211,275,2025-12-20,Discover
2457836299252052,53,2027-04-29,Discover
5931817897459130,325,2029-02-03,JCB
4853954172017454,228,2028-09-16,Visa
5535556306984690,280,2027-01-18,Visa
5062120843539136,163,2025-08-26,Amex
0174632702029015,394,2032-01-15,Visa
3374495857980323,494,2030-09-11,MasterCard
1210981996776098,321,2025-05-01,Amex
8329484698079936,136,2024-04-26,Discover
4159484771945165,381,2028-08-15,Visa
1591839000471807,380,2031-08-27,MasterCard
4844369774509994,55,2025-12-01,Amex
1267454932877471,43,2028-04-23,MasterCard
8045550652470884,164,2026-03-21,Amex
9515079259447072,125,2032-10-22,Amex
3106769050074327,53,2029-11-07,JCB
8041200468941579,174,2025-11-27,Amex
5308378065083183,16,2026-07-29,Discover
5239787627420545,321,2028-09-06,Amex
3600129592008292,41,2024-04-06,MasterCard
2826605459039055,176,2024-08-31,Visa
9551635942382928,402,2024-08-21,Visa
5998919254747266,185,2027-06-13,Visa
5242571554526332,299,2028-05-13,JCB
9693052076910649,354,2033-06-12,MasterCard
6093697796660422,442,2029-04-20,Amex
1897296324075758,387,2030-03-10,MasterCard
4907243504963039,199,2033-08-08,MasterCard
4983269757920966,177,2024-08-30,Amex
2474693732770638,150,2032-05-11,JCB
1442234225399201,65,2031-10-02,Amex
9442049516459884,436,2031-05-10,Visa
8800569759316619,447,2030-04-14,Amex
8520026505589968,484,2033-02-05,Visa
1983358620105369,356,2026-12-24,Visa
6351124323663308,144,2027-06-26,JCB
3819554837939091,136,2030-05-03,JCB
1015519413491167,77,2033-12-08,Amex
3232090778836339,418,2028-11-24,Visa
5241773747372939,207,2024-02-06,Amex
6462298713959404,229,2026-04-21,MasterCard
6349505060980006,490,2026-07-08,Discover
4750861640500519,354,2028-07-25,Visa
8198039964112128,123,2029-08-14,MasterCard
7946308871326713,117,2029-09-09,Visa
2676493808627920,449,2030-03-12,Amex
6977965831488354,123,2025-07-17,Discover
6446553144313682,162,2029-09-13,MasterCard
6734856197712184,136,2024-07-21,Visa
6630920665660479,303,2024-08-25,Visa
1029832562847314,76,2028-07-14,Discover
3320074480679202,335,2026-09-26,Visa
8651507834606772,428,2026-06-28,MasterCard
1881838654390541,455,2033-11-15,Discover
9217075462082263,154,2028-11-15,Discover
8900309547944855,67,2030-02-01,Visa
7811225638455480,267,2030-08-31,Visa
6196711726268056,143,2033-04-12,Amex
2197859380378628,277,2026-02-25,Visa
3483408546203943,230,2028-12-09,Amex
0066802156346859,80,2025-11-25,Visa
5306645383999073,106,2032-01-30,Amex
2273013666029440,291,2028-01-10,MasterCard
4761951753990157,440,2024-10-07,MasterCard
4410196373786872,80,2029-03-09,Visa
8716521995793760,81,2027-01-01,Amex
4846907174785791,334,2032-11-05,Amex
3675727514939284,336,2025-02-25,Visa
2089878742065460,360,2029-02-04,Visa
0361067931402790,35,2030-10-22,Visa
4272333800775210,448,2029-07-15,Discover
0036407418215583,434,2029-01-14,Discover
9938848322511466,261,2031-01-01,Amex
8215612068094953,386,2025-10-18,Visa
0003511447016344,462,2025-08-21,Discover
9128155450164540,71,2033-06-27,JCB
5331658122938148,390,2032-02-18,JCB
0537993781735955,368,2032-01-05,Discover
9061566532566843,406,2029-09-06,MasterCard
1632305611989052,85,2029-10-17,Amex
7654456272726855,63,2026-01-23,Visa
2553145901789307,244,2032-02-05,Visa
3133935504405905,85,2025-12-02,JCB
1682778505017703,270,2032-05-31,Visa
1616279949608093,476,2031-03-16,MasterCard
9272730808776475,315,2024-08-04,Discover
8129077746300567,121,2029-01-30,Discover
9083953248826914,197,2029-08-25,MasterCard
1956268714655656,344,2026-08-06,Amex
0375315066396365,60,2026-10-12,Visa
3413413239654238,253,2033-07-20,Visa
2791047438825422,397,2030-05-03,Amex
6457762973466705,458,2025-06-05,JCB
5057571184496571,178,2025-01-25,JCB
6806850509789630,497,2025-05-22,Amex
8839831861804550,232,2027-04-26,MasterCard
8909996474983423,474,2027-09-16,MasterCard
7334539521633993,428,2024-12-27,JCB
2749114300517447,193,2030-06-30,Amex
3858915651829799,451,2024-01-30,JCB
8548221214038568,179,2025-08-13,Visa
8970386066988311,441,2030-08-25,Amex
6843772994887510,175,2033-05-31,Amex
7284017274822913,476,2032-10-10,Discover
2701855653167998,455,2028-11-16,Visa
9997405871841950,466,2031-07-31,Discover
2425736580559737,214,2032-04-05,Discover
9566732703070212,266,2033-11-24,MasterCard
1163802621658370,57,2027-08-23,Visa
3811819102479824,337,2031-02-22,Amex
9993542725332967,195,2025-05-15,Visa
9290410602341309,231,2030-03-19,JCB
6734157659001997,226,2027-09-10,MasterCard
7804303584065333,162,2028-05-21,Visa
9101359186432777,113,2033-11-26,Discover
1882159214643213,473,2026-10-13,MasterCard
4401287421139833,68,2031-04-14,JCB
3797156820699292,357,2027-03-19,JCB
5883353970697085,104,2030-01-17,Amex
2057189649823071,358,2025-11-26,MasterCard
7494409541090702,44,2025-01-12,Visa
4411139905599708,425,2024-06-01,Discover
7649035552636004,455,2032-11-22,Discover
8342906430092792,427,2031-08-19,MasterCard
9546818734405949,131,2027-05-19,MasterCard
4584467116323458,227,2025-12-20,JCB
9638751397491001,348,2032-05-27,MasterCard
8658117477048875,318,2030-09-19,JCB
2830793393041656,177,2028-04-23,MasterCard
9672623057715492,375,2027-06-22,Amex
0384431718752481,2,2024-08-30,MasterCard
3582553438064464,44,2027-08-15,Visa
0923808299422970,336,2026-06-09,JCB
9483513322487474,99,2025-09-23,Amex
3277283664354726,193,2027-04-26,JCB
6390498079069920,8,2031-09-30,Discover
4210450461665332,445,2030-05-19,Discover
7657829147912483,335,2030-02-06,Discover
5695157012244232,179,2033-03-30,Amex
8339083875267737,280,2026-07-10,JCB
4318769451123782,31,2025-09-23,JCB
2872032390557459,172,2032-03-31,Amex
1461795956110289,188,2026-06-22,MasterCard
0181466457034565,29,2033-07-16,Visa
1059204949385833,71,2030-11-08,Discover
7621465546530625,38,2031-02-23,MasterCard
3827490778286199,122,2032-10-24,JCB
6858300496233969,448,2032-05-17,Discover
2203190391103323,173,2029-06-07,JCB
8615915618501044,364,2032-06-05,Visa
2155427633116279,496,2032-06-06,Discover
7882010723590188,131,2027-05-21,MasterCard
4561604846957400,253,2033-03-07,MasterCard
1034318338464779,495,2027-09-02,Discover
6330352430866853,67,2024-02-11,Amex
1205021811012694,16,2029-09-26,JCB
1399880320974499,430,2029-05-12,MasterCard
8965121827209043,61,2029-06-03,Amex
4773498674739861,215,2024-07-20,JCB
3159308106533561,24,2032-11-17,JCB
6446946922012059,187,2026-06-21,Discover
7636058679969499,57,2028-04-26,MasterCard
4289864291464690,255,2026-08-07,MasterCard
8430984165659635,483,2030-05-25,Visa
0198616535555255,44,2033-11-12,Amex
5442696391347242,485,2028-12-15,Amex
0035517042733511,135,2031-12-14,JCB
7465982112641894,439,2025-01-28,Discover
2763544524314665,239,2025-05-21,Visa
1832739540205749,160,2032-09-25,Amex
2094207716710763,142,2024-08-13,MasterCard
9771568477759411,55,2025-01-28,Visa
3671970822685252,125,2027-10-11,JCB
6215271250144429,342,2026-03-02,MasterCard
6780469145886441,230,2024-08-21,MasterCard
4703010562401147,422,2029-01-21,Amex
2645466984976327,147,2024-03-16,MasterCard
1922444151031958,24,2031-07-31,Amex
9761243395200031,372,2029-07-28,Visa
7143856238892763,494,2026-09-06,Visa
8996972698812925,483,2026-06-24,Discover
2965966436696837,44,2031-10-14,Visa
9780555794981014,424,2030-04-07,MasterCard
4311930464189002,342,2032-07-15,MasterCard
1629951337918387,449,2030-06-14,MasterCard
7953214780636792,402,2032-12-17,JCB
0808389502181326,191,2032-06-29,MasterCard
1632379645244653,479,2024-07-08,MasterCard
3626432055904372,331,2033-09-16,Visa
2835763822789209,21,2025-06-28,JCB
2039637068814705,248,2032-10-04,Visa
7229575013901643,60,2025-03-31,Amex
3578683361770730,101,2031-03-15,MasterCard
4982179662001179,49,2027-06-15,Visa
3654098978851540,139,2028-11-15,Visa
