billing_id ,card_number      ,total_amount ,billing_date
        46 ,1234567800000028 ,        8899 ,2023-11-25
        47 ,1234567800000029 ,        3849 ,2023-11-25
        48 ,1234567800000030 ,           0 ,2023-11-25
        49 ,1234567800000031 ,       16698 ,2023-11-25
        50 ,1234567800000032 ,        3949 ,2023-11-25
        51 ,1234567800000033 ,       23198 ,2023-11-25
        52 ,1234567800000034 ,       25098 ,2023-11-25
        53 ,1234567800000035 ,           0 ,2023-11-25
        54 ,1234567800000036 ,        3299 ,2023-11-25
        55 ,1234567800000037 ,           0 ,2023-11-25
        56 ,1234567800000038 ,        9099 ,2023-11-25
        57 ,1234567800000039 ,        3949 ,2023-11-25
        58 ,1234567800000040 ,           0 ,2023-11-25
        59 ,1234567800000041 ,        8199 ,2023-11-25
        60 ,1234567800000042 ,        4099 ,2023-11-25
        61 ,1234567800000043 ,       19999 ,2023-11-25
        62 ,1234567800000044 ,        3199 ,2023-11-25
        63 ,1234567800000045 ,        8799 ,2023-11-25
        64 ,1234567800000046 ,        3899 ,2023-11-25
        65 ,1234567800000047 ,       20499 ,2023-11-25
        66 ,1234567800000048 ,        3399 ,2023-11-25
        67 ,1234567800000049 ,        8999 ,2023-11-25
        68 ,1234567800000050 ,        4049 ,2023-11-25
        69 ,1234567800000051 ,        8999 ,2024-01-25
        70 ,1234567800000052 ,        4149 ,2023-04-25
        71 ,1234567800000053 ,       20999 ,2023-07-25
        72 ,1234567800000054 ,       28697 ,2024-01-25
        73 ,1234567800000055 ,        8699 ,2023-10-25
        74 ,1234567800000056 ,        3499 ,2023-06-25
        75 ,1234567800000057 ,           0 ,2023-02-25
        76 ,1234567800000058 ,        9299 ,2023-05-25
        77 ,1234567800000059 ,        4149 ,2023-08-25
        78 ,1234567800000060 ,           0 ,2023-05-25
        79 ,1234567800000061 ,        8399 ,2023-11-25
        80 ,1234567800000062 ,        4299 ,2023-04-25
        81 ,1234567800000063 ,       21999 ,2023-07-25
        82 ,1234567800000064 ,        3399 ,2023-09-25
        83 ,1234567800000065 ,        8899 ,2023-12-25
        84 ,1234567800000066 ,        3999 ,2023-02-25
        85 ,1234567800000067 ,       21499 ,2023-03-25
        86 ,1234567800000068 ,        3599 ,2023-06-25
        87 ,1234567800000069 ,        9199 ,2023-05-25
        88 ,1234567800000070 ,        4249 ,2023-08-25
        89 ,1234567800000071 ,        9299 ,2023-08-25
        90 ,1234567800000072 ,        4349 ,2023-01-25
        91 ,1234567800000073 ,       21999 ,2023-09-25
        92 ,1234567800000074 ,        3499 ,2023-01-25
        93 ,1234567800000075 ,        9099 ,2023-08-25
        94 ,1234567800000076 ,        3999 ,2023-01-25
        95 ,1234567800000077 ,       23999 ,2023-09-25
        96 ,1234567800000078 ,        3699 ,2023-01-25
        97 ,1234567800000079 ,        9499 ,2023-08-25
        98 ,1234567800000080 ,        4449 ,2023-01-25
        99 ,1234567800000081 ,        8799 ,2023-08-25
       100 ,1234567800000082 ,        4599 ,2023-01-25
       101 ,1234567800000083 ,       22999 ,2023-09-25
       102 ,1234567800000084 ,        3799 ,2023-01-25
       103 ,1234567800000085 ,        9199 ,2023-08-25
       104 ,1234567800000086 ,        4199 ,2023-01-25
       105 ,1234567800000087 ,       23499 ,2023-09-25
       106 ,1234567800000088 ,        3899 ,2023-01-25
       107 ,1234567800000089 ,        9399 ,2023-08-25
       108 ,1234567800000090 ,        4649 ,2023-01-25
       109 ,1234567800000091 ,        9399 ,2023-03-25
       110 ,1234567800000092 ,        4499 ,2023-04-25
       111 ,1234567800000093 ,       22499 ,2023-03-25
       112 ,1234567800000094 ,        3599 ,2023-04-25
       113 ,1234567800000095 ,        9299 ,2023-03-25
       114 ,1234567800000096 ,        4199 ,2023-04-25
       115 ,1234567800000097 ,       24499 ,2023-03-25
       116 ,1234567800000098 ,        3899 ,2023-04-25
       117 ,1234567800000099 ,        9599 ,2023-03-25
       118 ,1234567800000100 ,        4599 ,2023-04-25
       119 ,1234567800000101 ,        8999 ,2023-03-25
       120 ,1234567800000102 ,        4749 ,2023-04-25
       121 ,1234567800000103 ,       23499 ,2023-03-25
       122 ,1234567800000104 ,        3999 ,2023-04-25
       123 ,1234567800000105 ,        9399 ,2023-03-25
       124 ,1234567800000106 ,        4399 ,2023-04-25
       125 ,1234567800000107 ,       24999 ,2023-03-25
       126 ,1234567800000108 ,        4099 ,2023-04-25
       127 ,1234567800000109 ,        9599 ,2023-03-25
       128 ,1234567800000110 ,        4849 ,2023-04-25
       129 ,1234567800000111 ,        5999 ,2022-03-25
       130 ,1234567800000112 ,        2999 ,2022-04-25
       131 ,1234567800000113 ,       12999 ,2022-03-25
       132 ,1234567800000114 ,        2599 ,2022-04-25
       133 ,1234567800000115 ,        5499 ,2022-03-25
       134 ,1234567800000116 ,        2899 ,2022-04-25
       135 ,1234567800000117 ,       11999 ,2022-03-25
       136 ,1234567800000118 ,        2499 ,2022-04-25
       137 ,1234567800000119 ,        8799 ,2022-03-25
       138 ,1234567800000120 ,        3999 ,2022-04-25
       139 ,1234567800000121 ,       22499 ,2022-03-25
       140 ,1234567800000122 ,        3499 ,2022-04-25
       141 ,1234567800000123 ,        9099 ,2022-03-25
       142 ,1234567800000124 ,        4199 ,2022-04-25
       143 ,1234567800000125 ,        8599 ,2022-03-25
       144 ,1234567800000126 ,        4399 ,2022-04-25
       145 ,1234567800000127 ,       21499 ,2022-03-25
       146 ,1234567800000128 ,        3599 ,2022-04-25
       147 ,1234567800000129 ,        8999 ,2022-03-25
       148 ,1234567800000130 ,        4299 ,2022-04-25
       149 ,1234567800000131 ,       22999 ,2022-03-25
       150 ,1234567800000132 ,        3699 ,2022-04-25
       151 ,1234567800000133 ,        9399 ,2022-03-25
       152 ,1234567800000134 ,        4499 ,2022-04-25
       153 ,1234567800000071 ,        5199 ,2022-03-25
       154 ,1234567800000075 ,        2699 ,2022-04-25
       155 ,1234567800000078 ,       11499 ,2022-03-25
       156 ,1234567800000082 ,        2299 ,2022-04-25
       157 ,1234567800000086 ,        8299 ,2022-03-25
       158 ,1234567800000090 ,        3799 ,2022-04-25
       159 ,1234567800000111 ,       20999 ,2022-03-25
       160 ,1234567800000114 ,        3199 ,2022-04-25
       161 ,1234567800000116 ,        8799 ,2022-03-25
       162 ,1234567800000120 ,        4099 ,2022-04-25
       163 ,1234567800000123 ,        7999 ,2022-03-25
       164 ,1234567800000127 ,        4199 ,2022-04-25
       165 ,1234567800000130 ,       20499 ,2022-03-25
       166 ,1234567800000132 ,        3399 ,2022-04-25
       167 ,1234567800000134 ,        8799 ,2022-03-25
       168 ,1234567800000073 ,        3999 ,2022-04-25
       169 ,1234567800000077 ,       21999 ,2022-03-25
       170 ,1234567800000081 ,        3599 ,2022-04-25
       171 ,1234567800000085 ,        9099 ,2022-03-25
       172 ,1234567800000089 ,        4299 ,2022-04-25
       173 ,1234567800000074 ,        4999 ,2022-05-25
       174 ,1234567800000076 ,        2699 ,2022-06-25
       175 ,1234567800000079 ,       10999 ,2022-05-25
       176 ,1234567800000083 ,        2199 ,2022-06-25
       177 ,1234567800000087 ,        8099 ,2022-05-25
       178 ,1234567800000091 ,        3699 ,2022-06-25
       179 ,1234567800000112 ,       19999 ,2022-05-25
       180 ,1234567800000115 ,        3099 ,2022-06-25
       181 ,1234567800000117 ,        8699 ,2022-05-25
       182 ,1234567800000121 ,        3999 ,2022-06-25
       183 ,1234567800000124 ,        7699 ,2022-05-25
       184 ,1234567800000128 ,        3999 ,2022-06-25
       185 ,1234567800000131 ,       19499 ,2022-05-25
       186 ,1234567800000133 ,        3299 ,2022-06-25
       187 ,1234567800000134 ,        8699 ,2022-05-25
       188 ,1234567800000072 ,        3799 ,2022-06-25
       189 ,1234567800000076 ,       20999 ,2022-05-25
       190 ,1234567800000080 ,        3499 ,2022-06-25
       191 ,1234567800000084 ,        8899 ,2022-05-25
       192 ,1234567800000088 ,        4099 ,2022-06-25
       193 ,1234567800000074 ,        5999 ,2022-05-25
       194 ,1234567800000117 ,        2999 ,2022-08-25
       195 ,1234567800000121 ,       13999 ,2022-12-25
       196 ,1234567800000088 ,        2199 ,2023-01-25
       197 ,1234567800000079 ,        9599 ,2022-05-25
       198 ,1234567800000124 ,        4099 ,2022-09-25
       199 ,1234567800000080 ,       24499 ,2022-11-25
       200 ,1234567800000076 ,        3899 ,2023-01-25
       201 ,1234567800000115 ,        9999 ,2022-04-25
       202 ,1234567800000083 ,        4999 ,2022-07-25
       203 ,1234567800000134 ,        8499 ,2022-10-25
       204 ,1234567800000087 ,        4699 ,2023-01-25
       205 ,1234567800000120 ,       23999 ,2022-05-25
       206 ,1234567800000131 ,        4199 ,2022-09-25
       207 ,1234567800000091 ,        8999 ,2022-12-25
       208 ,1234567800000133 ,        4499 ,2023-01-25
       209 ,1234567800000072 ,        9899 ,2022-06-25
       210 ,1234567800000085 ,        4699 ,2022-08-25
       211 ,1234567800000118 ,       23499 ,2022-10-25
       212 ,1234567800000075 ,        4299 ,2023-01-25
       213 ,1234567800000084 ,        5299 ,2022-05-25
       214 ,1234567800000119 ,        2799 ,2022-08-25
       215 ,1234567800000122 ,       12999 ,2022-12-25
       216 ,1234567800000089 ,        2399 ,2023-01-25
       217 ,1234567800000078 ,        9299 ,2022-05-25
       218 ,1234567800000125 ,        4199 ,2022-09-25
       219 ,1234567800000081 ,       23999 ,2022-11-25
       220 ,1234567800000077 ,        3999 ,2023-01-25
       221 ,1234567800000113 ,        9899 ,2022-04-25
       222 ,1234567800000082 ,        4799 ,2022-07-25
       223 ,1234567800000132 ,        8199 ,2022-10-25
       224 ,1234567800000086 ,        4799 ,2023-01-25
       225 ,1234567800000121 ,       22999 ,2022-05-25
       226 ,1234567800000130 ,        4299 ,2022-09-25
       227 ,1234567800000092 ,        8799 ,2022-12-25
       228 ,1234567800000133 ,        4599 ,2023-01-25
       229 ,1234567800000073 ,        9699 ,2022-06-25
       230 ,1234567800000085 ,        4599 ,2022-08-25
       231 ,1234567800000119 ,       22499 ,2022-10-25
       232 ,1234567800000075 ,        4199 ,2023-01-25
